X1,X2,Y
34,78,0
73,7,0
59,61,0
95,31,1
48,99,1
44,45,0
29,58,0
32,77,0
94,32,1
71,69,1
31,80,0
6,41,0
28,28,0
24,5,0
96,49,1
14,5,0
7,27,0
89,95,1
12,37,0
4,84,0
90,59,1
9,40,0
14,78,0
81,20,0
91,57,1
87,50,1
42,48,0
70,35,0
17,95,0
16,49,0
1,68,0
17,57,0
93,36,1
38,73,0
50,50,0
37,14,0
43,80,1
8,45,0
80,18,0
26,36,0
86,26,0
26,21,0
37,5,0
24,42,0
64,30,0
81,53,1
70,45,0
79,3,0
14,93,0
41,66,0
97,48,1
100,44,1
70,77,1
74,25,0
23,87,0
96,61,1
76,8,0
55,16,0
39,71,0
94,96,1
75,14,0
90,84,1
89,69,1
97,32,1
32,72,0
34,57,0
19,54,0
96,86,1
53,70,1
11,95,0
25,62,0
69,14,0
50,16,0
23,29,0
15,81,0
13,71,0
13,44,0
55,94,1
81,72,1
31,25,0
49,23,0
14,3,0
69,7,0
66,14,0
67,84,1
83,44,1
39,54,0
98,55,1
88,55,1
85,13,0
8,61,0
55,54,0
76,93,1
70,93,1
72,32,0
74,55,1
18,95,0
63,44,0
8,96,0
21,41,0
